종목명,종목코드
3S,60310
APS,54620
CBI,13720
CJ 바이오사이언스,311690
CJ씨푸드,11150
CNH,23460
CNT85,56730
CS홀딩스,590
DB금융투자,16610
DH오토웨어,25440
DMS,68790
DRB동일,4840
DSC인베스트먼트,241520
DSR,155660
DSR제강,69730
DXVX,180400
EG,37370
FSN,214270
HDC랩스,39570
HDC현대EP,89470
HL D&I,14790
HLB파나진,46210
HRS,36640
HS애드,35000
JW신약,67290
KBG,318000
KCC건설,21320
KCI,36670
KCTC,9070
KC그린홀딩스,9440
KC코트렐,119650
KH 필룩스,33180
KIB플러그에너지,15590
KNN,58400
KTcs,58850
KTis,58860
KX하이텍,52900
LB루셈,376190
MDS테크,86960
NEW,160550
NE능률,53290
NHN벅스,104200
NH올원리츠,400760
NH프라임리츠,338100
NI스틸,8260
PN풍년,24940
RF머트리얼즈,327260
SBI인베스트먼트,19550
SBI핀테크솔루션즈,950110
SBW생명과학,151910
SCI평가정보,36120
SDN,99220
SG,255220
SGC이테크건설,16250
SG글로벌,1380
SG세계물산,4060
SH에너지화학,2360
SM C&C,48550
SM Life Design,63440
SNT에너지,100840
SV인베스트먼트,289080
TJ미디어,32540
TKG애강,22220
YBM넷,57030
iMBC,52220
가온그룹,78890
가온전선,500
강남제비스코,860
강스템바이오텍,217730
갤럭시아에스엠,11420
경남스틸,39240
경농,2100
경동도시가스,267290
경동인베스트,12320
경인양행,12610
경창산업,24910
계룡건설,13580
고려산업,2140
고려신용정보,49720
고려제약,14570
고바이오랩,348150
고스트스튜디오,950190
골프존뉴딘홀딩스,121440
광명전기,17040
광무,29480
광전자,17900
교촌에프앤비,339770
구영테크,53270
국보디자인,66620
국순당,43650
국제약품,2720
그래디언트,35080
그리티,204020
그린케미칼,83420
그린플러스,186230
극동유화,14530
금강공업,14280
금강철강,53260
금비,8870
금호건설,2990
금호에이치티,214330
금화피에스시,36190
기가레인,49080
기신정기,92440
까뮤이앤씨,13700
깨끗한나라,4540
나노브릭,286750
나노씨엠에스,247660
나노엔텍,39860
나라엠앤디,51490
나무기술,242040
나우IB,293580
나이스디앤비,130580
나인테크,267320
남광토건,1260
남성,4270
남화산업,111710
남화토건,91590
내츄럴엔도텍,168330
네오오토,212560
네온테크,306620
노랑풍선,104620
노루페인트,90350
노루홀딩스,320
녹십자엠에스,142280
녹십자웰빙,234690
농우바이오,54050
뉴트리,270870
뉴프렉스,85670
다보링크,340360
다산네트웍스,39560
다스코,58730
다이나믹디자인,145210
대구백화점,6370
대동기어,8830
대동전자,8110
대륙제관,4780
대림B&Co,5750
대림제지,17650
대명소노시즌,7720
대모,317850
대봉엘에스,78140
대성산업,128820
대성창투,27830
대성홀딩스,16710
대양전기공업,108380
대영포장,14160
대우부품,9320
대원,7680
대원미디어,48910
대원산업,5710
대원전선,6340
대원화성,24890
대정화금,120240
대주산업,3310
대창,12800
대창단조,15230
대창솔루션,96350
대한광통신,10170
대한뉴팜,54670
대한약품,23910
대한화섬,3830
대현,16090
대호에이엘,69460
대화제약,67080
더블유에스아이,299170
덕성,4830
덕신하우징,90410
덕양산업,24900
덕우전자,263600
데이타솔루션,263800
덴티스,261200
도이치모터스,67990
동구바이오제약,6620
동국S&C,100130
동국알앤에스,75970
동남합성,23450
동방,4140
동방아그로,7590
동부건설,5960
동성제약,2210
동신건설,25950
동아엘텍,88130
동아지질,28100
동아타이어,282690
동아화성,41930
동양이엔피,79960
동양철관,8970
동양피스톤,92780
동우팜투테이블,88910
동원금속,18500
동일고무벨트,163560
동일금속,109860
동일산업,4890
두올,16740
드림시큐리티,203650
드림씨아이에스,223250
드림어스컴퍼니,60570
디바이스이엔지,187870
디스플레이텍,66670
디씨엠,24090
디아이,3160
디아이씨,92200
디알젬,263690
디에스케이,109740
디에이테크놀로지,196490
디에이피,66900
디와이,13570
디와이파워,210540
디지털대성,68930
디지틀조선,33130
디케이락,105740
디케이티,290550
디티앤씨,187220
라온시큐어,42510
라온테크,232680
라온피플,300120
라이온켐텍,171120
라이콤,388790
라이트론,69540
라파스,214260
래몽래인,200350
램테크놀러지,171010
러셀,217500
레드캡투어,38390
레몬,294140
레이언스,228850
로보로보,215100
로체시스템즈,71280
루멘스,38060
리드코프,12700
리메드,302550
리파인,377450
린드먼아시아,277070
링네트,42500
링크제니시스,219420
마니커,27740
마음AI,377480
마이크로디지탈,305090
마이크로컨텍솔,98120
만호제강,1080
매일홀딩스,5990
맥스트,377030
머큐리,100590
메가스터디,72870
메디아나,41920
메쎄이상,408920
메이슨캐피탈,21880
메카로,241770
메타바이오메드,59210
멕아이씨에스,58110
명문제약,17180
모나리자,12690
모다이노칩,80420
모두투어리츠,204210
모바일어플라이언스,87260
모베이스,101330
모베이스전자,12860
모비데이즈,363260
모비릭스,348030
모비스,250060
무림P&P,9580
무림페이퍼,9200
무학,33920
문배철강,8420
미디어젠,279600
미래산업,25560
미래생명자원,218150
미래에셋글로벌리츠,396690
미스터블루,207760
미원홀딩스,107590
미원화학,134380
미창석유,3650
미코바이오메드,214610
미투온,201490
바른손,18700
바이브컴퍼니,301300
바이오솔루션,86820
바이오스마트,38460
바이오톡스텍,86040
바이옵트로,222160
바이젠셀,308080
방림,3610
배럴,267790
베노티앤알,206400
베뉴지,19010
벽산,7210
보광산업,225530
보라티알,250000
보락,2760
보성파워텍,6910
보해양조,890
본느,226340
부국철강,26940
부방,14470
부산산업,11390
브랜드엑스코퍼레이션,337930
브레인즈컴퍼니,99390
브리지텍,64480
브릿지바이오테라퓨틱스,288330
브이원텍,251630
블리츠웨이,369370
비보존 제약,82800
비상교육,100220
비아트론,141000
비엘,142760
비엠티,86670
비투엔,307870
비트나인,357880
비트컴퓨터,32850
빅솔론,93190
빅텍,65450
사조동아원,8040
사조씨푸드,14710
사조오양,6090
삼기,122350
삼보모터스,53700
삼보판지,23600
삼성공조,6660
삼성제약,1360
삼성출판사,68290
삼아제약,9300
삼양옵틱스,225190
삼양통상,2170
삼영,3720
삼영전자,5680
삼원강재,23000
삼익악기,2450
삼일제약,520
삼정펄프,9770
삼지전자,37460
삼천리자전거,24950
삼현철강,17480
삼호개발,10960
삼화네트웍스,46390
삼화왕관,4450
삼화전기,9470
삼화전자,11230
삼화페인트,390
상보,27580
상상인증권,1290
상신브레이크,41650
상신전자,263810
새론오토모티브,75180
샘표,7540
샘표식품,248170
서남,294630
서린바이오,38070
서울바이오시스,92190
서울식품,4410
서원,21050
서원인텍,93920
서진오토모티브,122690
서플러스글로벌,140070
서한,11370
서호전기,65710
선광,3100
선진,136490
선진뷰티사이언스,86710
성도이엔지,37350
성안,11300
성창기업지주,180
성호전자,43260
세보엠이씨,11560
세아특수강,19440
세운메디칼,100700
세원정공,21820
세이브존I&C,67830
세종공업,33530
세종메디칼,258830
세종텔레콤,36630
세코닉스,53450
세토피아,222810
센코,347000
셀루메드,49180
셀리드,299660
셀바스헬스케어,208370
소니드,60230
소마젠,950200
소프트센,32680
손오공,66910
솔본,35610
수산아이앤티,50960
수산중공업,17550
수성샐바시온,84180
수젠텍,253840
슈프리마,236200
슈프리마에이치큐,94840
스맥,99440
스피어파워,203690
승일,49830
시공테크,20710
시그네틱스,33170
신도기연,290520
신라교역,4970
신세계푸드,31440
신송홀딩스,6880
신스틸,162300
신신제약,2800
신영와코루,5800
신원,9270
신일전자,2700
신일제약,12790
신화인터텍,56700
신흥,4080
심텍홀딩스,36710
싸이맥스,160980
쌍방울,102280
써니전자,4770
쎄노텍,222420
쎌바이오텍,49960
씨싸이트,109670
씨씨에스,66790
씨아이테크,4920
씨앤지하이테크,264660
씨앤투스,352700
씨엔알리서치,359090
씨유테크,376290
씨이랩,189330
씨티알모빌리티,308170
씨티케이,260930
아가방컴퍼니,13990
아남전자,8700
아모레G3우(전환),00279K
아모센스,357580
아모텍,52710
아미노로직스,74430
아비코전자,36010
아센디오,12170
아스타,246720
아스트,67390
아스플로,159010
아우딘퓨쳐스,227610
아이디스홀딩스,54800
아이비김영,339950
아이씨디,40910
아이에스이커머스,69920
아이에이,38880
아이엘사이언스,307180
아이진,185490
아이큐어,175250
아이텍,119830
아이티센,124500
아주스틸,139990
아진산업,13310
아진엑스텍,59120
아톤,158430
안국약품,1540
안트로젠,65660
알리코제약,260660
알비더블유,361570
알서포트,131370
알에스오토메이션,140670
알에프세미,96610
알에프텍,61040
알체라,347860
압타머사이언스,291650
애니젠,196300
애니플러스,310200
애머릿지,900100
액션스퀘어,205500
액토즈소프트,52790
액트로,290740
앤디포스,238090
야스,255440
에너토크,19990
에브리봇,270660
에스넷,38680
에스씨디,42110
에스씨엠생명과학,298060
에스앤디,260970
에스에이티,60540
에스엔유,80000
에스엠코어,7820
에스제이그룹,306040
에스코넥,96630
에스텍,69510
에스텍파마,41910
에스트래픽,234300
에스퓨얼셀,288620
에스피시스템스,317830
에쎈테크,43340
에이루트,96690
에이블씨엔씨,78520
에이비온,203400
에이비프로바이오,195990
에이스테크,88800
에이스토리,241840
에이엔피,15260
에이치시티,72990
에이치엘사이언스,239610
에이치피오,357230
에이테크솔루션,71670
에이텍,45660
에이텍모빌리티,224110
에이티넘인베스트,21080
에이팩트,200470
에이프로젠바이오로직스,3060
에이플러스에셋,244920
에코바이오,38870
에코볼트,97780
에코캡,128540
에프앤가이드,64850
에프엔씨엔터,173940
에프엔에스테크,83500
엑셈,205100
엑스게이트,356680
엑스페릭스,317770
엑시콘,92870
엔바이오니아,317870
엔브이에이치코리아,67570
엔비티,236810
엔시스,333620
엔에프씨,265740
엔젠바이오,354200
엔지켐생명과학,183490
엔케이,85310
엔투텍,227950
엔피,291230
엘엠에스,73110
엘컴텍,37950
엘티씨,170920
엠게임,58630
엠벤처투자,19590
엠에스씨,9780
엠에프엠코리아,323230
엠투아이,347890
엠투엔,33310
엠플러스,259630
영림원소프트랩,60850
영보화학,14440
영풍제지,6740
영화테크,265560
예스24,53280
예스코홀딩스,15360
오로라,39830
오르비텍,46120
오리엔탈정공,14940
오리엔트바이오,2630
오리콤,10470
오비고,352910
오상자이엘,53980
오성첨단소재,52420
오션브릿지,241790
오스테오닉,226400
오이솔루션,138080
오킨스전자,80580
오텍,67170
오토앤,353590
오파스넷,173130
오픈베이스,49480
오하임앤컴퍼니,309930
옵투스제약,131030
옵트론텍,82210
옵티팜,153710
와이더플래닛,321820
와이씨켐,112290
와이어블,65530
와이엔텍,67900
와이엠씨,155650
와이엠텍,273640
와이엠티,251370
와이즈버즈,273060
와이지-원,19210
와이투솔루션,11690
와이팜,332570
용평리조트,70960
우듬지팜,403490
우리기술,32820
우리넷,115440
우리로,46970
우리바이오,82850
우리산업,215360
우리산업홀딩스,72470
우리손에프앤지,73560
우림피티에스,101170
우성,6980
우수AMS,66590
우신시스템,17370
우양,103840
우주일렉트로,65680
우진,105840
우진플라임,49800
웅진,16880
원바이오젠,307280
원익,32940
원익큐브,14190
원티드랩,376980
웨이버스,336060
웨이브일렉트로,95270
웰바이오텍,10600
웰크론,65950
웰크론한텍,76080
웹케시,53580
위닉스,44340
위더스제약,330350
위드텍,348350
위메이드플레이,123420
위지트,36090
윈스,136540
윈팩,97800
유니슨,18000
유니온,910
유니온머티리얼,47400
유니퀘스트,77500
유니크,11320
유니테크노,241690
유니트론텍,142210
유라테크,48430
유비벨록스,89850
유비쿼스,264450
유성기업,2920
유성티엔에스,24800
유수홀딩스,700
유신,54930
유아이엘,49520
유에스티,263770
유유제약,220
유일에너테크,340930
유틸렉스,263050
유화증권,3460
율호,72770
이건산업,8250
이건홀딩스,39020
이구산업,25820
이글루,67920
이글벳,44960
이노뎁,303530
이노메트리,302430
이노테라피,246960
이니텍,53350
이라이콤,41520
이랜시스,264850
이루다,164060
이미지스,115610
이삭엔지니어링,351330
이스트소프트,47560
이엠넷,123570
이엠코리아,95190
이지바이오,353810
이지스레지던스리츠,350520
이지케어텍,99750
이크레더블,92130
이화공영,1840
인디에프,14990
인바이오젠,101140
인산가,277410
인성정보,33230
인스코비,6490
인지디스플레,37330
인지컨트롤스,23800
인천도시가스,34590
인크로스,216050
인터지스,129260
인팩,23810
인포바인,115310
인포뱅크,39290
인피니트헬스케어,71200
인화정공,101930
일동홀딩스,230
일성건설,13360
일승,333430
일신석재,7110
일진디스플,20760
일진파워,94820
일진홀딩스,15860
잉크테크,49550
자비스,254120
자연과환경,43910
자이글,234920
자이에스앤디,317400
전진바이오팜,110020
정다운,208140
정상제이엘에스,40420
제너셈,217190
제노레이,122310
제노코,361390
제노포커스,187420
제놀루션,225220
제로투세븐,159580
제룡산업,147830
제이스코홀딩스,23440
제이스텍,90470
제이씨케미칼,137950
제이씨현시스템,33320
제이엔비,452160
제이엔케이히터,126880
제이엠티,94970
제이티,89790
제일연마,1560
제일전기공업,199820
제일테크노스,38010
제일파마홀딩스,2620
젠큐릭스,229000
젬백스링크,64800
조광페인트,4910
조비,1550
조선선재,120030
조아제약,34940
조이시티,67000
조흥,2600
종근당바이오,63160
줌인터넷,239340
중앙백신,72020
중앙에너비스,440
중앙첨단소재,51980
지놈앤컴퍼니,314130
지니너스,389030
지니뮤직,43610
지니언스,263860
지아이텍,382480
지앤비에스 에코,382800
지어소프트,51160
지에스이,53050
지엔씨에너지,119850
지엘팜텍,204840
지엠비코리아,13870
지오엘리먼트,311320
진로발효,18120
진매트릭스,109820
진시스템,363250
진양산업,3780
진양제약,7370
진양폴리,10640
진양홀딩스,100250
진흥기업,2780
차백신연구소,261780
참좋은여행,94850
창해에탄올,4650
천일고속,650
청호ICT,12600
체리부로,66360
체시스,33250
카이노스메드,284620
캠시스,50110
컨버즈,109070
컴퍼니케이,307930
케어랩스,263700
케이비아이동국실업,1620
케이사인,192250
케이씨에스,115500
케이에스피,73010
케이엔더블유,105330
케이엔제이,272110
케이엘넷,39420
케이옥션,102370
케이프,64820
케이피에스,256940
케이피에프,24880
케이피엠테크,42040
케일럼,258610
켄코아에어로스페이스,274090
켐트로스,220260
코닉오토메이션,391710
코데즈컴바인,47770
코렌텍,104540
코리아나,27050
코리아에프티,123410
코메론,49430
코세스,89890
코센,9730
코스맥스비티아이,44820
코스맥스엔비티,222040
코스텍시스,355150
코아시아,45970
코아시아씨엠,196450
코콤,15710
코텍,52330
코퍼스코리아,322780
콤텍시스템,31820
퀀타매트릭스,317690
퀀타피아,78940
큐라클,365270
큐로컴,40350
큐에스아이,66310
큐캐피탈,16600
크라우드웍스,355390
크라운제과,264900
크라운해태홀딩스,5740
크레버스,96240
크리스에프앤씨,110790
크리스탈신소재,900250
클리노믹스,352770
키네마스터,139670
키이스트,54780
타이거일렉,219130
탑엔지니어링,65130
탑코미디어,134580
태경비케이,14580
태경산업,15890
태경케미컬,6890
태림포장,11280
태성,323280
태양,53620
태양금속,4100
태영건설,9410
태웅로직스,124560
태평양물산,7980
테고사이언스,191420
테라사이언스,73640
테라젠이텍스,66700
테이팩스,55490
테크엘,64520
텔레필드,91440
텔코웨어,78000
텔콘RF제약,200230
토니모리,214420
트루윈,105550
트윔,290090
특수건설,26150
티라유텍,322180
티비씨,33830
티사이언티픽,57680
티앤알바이오팹,246710
티에스넥스젠,43220
티에스아이,277880
티에이치엔,19180
티엔엔터테인먼트,131100
티케이케미칼,104480
티플랙스,81150
팅크웨어,84730
파라텍,33540
파멥신,208340
파수,150900
파워넷,37030
파이버프로,368770
파이오링크,170790
팜스빌,318010
팜스코,36580
팜스토리,27710
팜젠사이언스,4720
팬엔터테인먼트,68050
팬젠,222110
팸텍,271830
퍼스텍,10820
페이퍼코리아,1020
평화산업,90080
포시에스,189690
포인트엔지니어링,256630
폴라리스세원,234100
푸드나무,290720
푸른기술,94940
푸른저축은행,7330
풍국주정,23900
프로이천,321260
프롬바이오,377220
프리엠스,53160
플래스크,41590
플래티어,367000
플레이그램,9810
플레이디,237820
플리토,300080
피씨엘,241820
피에스텍,2230
피엔케이피부임상연구센타,347740
피제이메탈,128660
피제이전자,6140
피코그램,376180
피플바이오,304840
핌스,347770
핑거,163730
하이로닉,149980
하이소닉,106080
하이스틸,71090
하이텍팜,106190
하인크코리아,373200
하츠,66130
한국경제TV,39340
한국공항,5430
한국내화,10040
한국석유,4090
한국선재,25550
한국수출포장,2200
한국전자인증,41460
한국종합기술,23350
한국주철관,970
한국캐피탈,23760
한국컴퓨터,54040
한국특강,7280
한국화장품,123690
한국화장품제조,3350
한독,2390
한독크린텍,256150
한라IMS,92460
한빛소프트,47080
한성크린텍,66980
한세엠케이,69640
한세예스24홀딩스,16450
한솔로지스틱스,9180
한솔홀딩스,4150
한솔홈데코,25750
한스바이오메드,42520
한신공영,4960
한신기계,11700
한양증권,1750
한익스프레스,14130
한일단조,24740
한일사료,5860
한일철강,2220
한진중공업홀딩스,3480
한컴라이프케어,372910
한컴위드,54920
해성티피씨,59270
해태제과식품,101530
핸디소프트,220180
핸즈코퍼레이션,143210
헥토이노베이션,214180
현대공업,170030
현대리바트,79430
현대바이오랜드,52260
현대약품,4310
현대에버다임,41440
현대이지웰,90850
현대코퍼레이션홀딩스,227840
현우산업,92300
혜인,3010
호전실업,111110
홈센타홀딩스,60560
홈캐스트,64240
화성산업,2460
화승알앤에이,378850
화승인더,6060
화승코퍼레이션,13520
화신정공,126640
화인써키트,127980
화일약품,61250
화천기계,10660
화천기공,850
황금에스티,32560
효성ITX,94280
효성오앤비,97870
휴니드,5870
휴림에이텍,78590
휴맥스,115160
휴비스,79980
휴센텍,215090
흥구석유,24060
흥국,10240
흥국에프엔비,189980
흥국화재,540
희림,37440
힘스,238490
